Filename,Title,Authors,Year,Publisher,Type,Pages,Total Words,Has Deconstruction,Deconstruction Words,Deconstruction %,File Size (MB)
1.national-waste-and-resource-recovery-report-2024.pdf,National waste and resource recovery report 2024,"Dr Joe Pickin, Jen Macklin (BehaviourWorks)",2025,Microsoft® Word 2021,,104,32113,TRUE,313,0.97,6.16
2.Construction and demolition waste disposed and recovered.pdf,Construction and demolition waste dispo..._ State of the Environment Report 2024,,2026,Microsoft: Print To PDF,,6,,FALSE,0,0,1.61
3. Resource Recovery and Waste materials analysis.pdf,Resource recovery and waste materials analysis - DCCEEW,,2026,Microsoft: Print To PDF,,10,,FALSE,0,0,3.37
4.Handbook-performance-solution-process.pdf,Handbook: Performance Solution Process,Australian Building Codes Board,2021,Adobe PDF Library 21.1.177,,37,7692,FALSE,0,0,2.14
5.Model-code of practice-demolition-work.pdf,Model Code of Practice: Demolition work,Safe Work Australia,2018,Adobe PDF Library 19.8.103,,59,21159,FALSE,0,0,0.57
6.Interim Report - Opportunities to improve productivity of the construction industry.pdf,Opportunities to Improve Productivity of the Construction Industry,Brad Anderson,2025,Queensland Productivity Commission,Technical Report,342,130051,FALSE,0,0,4.69
7. Technical-Regulator-Annual-Report-2021-22-FINAL.pdf,Annual Report of the Technical Regulator 2021-2022,"Tangey, Tsigereda (DEM)",2022,Technical Regulator South Australia,,151,47346,FALSE,0,0,5.09
8.Circular Economy Resource Recovery Report 2023-24.pdf,Circular Economy Resource Recovery Report 2023-24,,2023,"Green Industries SA, DBD Environmental",Industry Report,119,26395,FALSE,0,0,18.69
9.Code-of-practice-demolition-work.pdf,Demolition work,Miranda McGaw,2020,Adobe PDF Library 15.0,,53,20889,FALSE,0,0,1.57
10.Report Dust.pdf,Report dust _ epa.vic.gov.au,,2026,Microsoft: Print To PDF,,2,,FALSE,0,0,0.13
11.Draft queenslands-waste-strategy2025-2030.pdf,Draft Queensland Waste Strategy 2025-2030,"Department of the Environment, Tourism, Science and Innovation",2025,Adobe PDF Library 17.0,,18,7824,FALSE,0,0,4.6
12.NT Budget 2024-25-bp2-book.pdf,BP2 BUDGET STRATEGY AND OUTLOOK,Northern Territory Government,2024,Adobe PDF Library 17.0,,126,48131,FALSE,0,0,1.31
13.Delivery Program 2020-2026 annual progress report 2024 25.pdf,Delivery Program 2022-2026 Progress Report Annual Report 2024/25,,2025,The City of Sydney,Other,104,41026,FALSE,0,0,4.03
14.Waste and recycling in Western Australia 2022u201323.pdf,Waste and recycling in Western Australia 2022–23 Data and trends report,,2025,Adobe PDF Library 17.0,,36,10052,FALSE,0,0,4.92
16.What-we-heard-report-Building-and-Construction-Industry.pdf,Listening Report,Felix Clarkin,2023,Building & Construction Roundtable 5 December 2022,,17,5176,FALSE,0,0,0.96
17.Report into the Construction and Demolition Waste Stream Audit 2000-05.pdf,Report into the Construction and Demolition Waste Stream Audit 2000-05_Part B,Department of Environment and Climate Change NSW,2007,Acrobat Distiller 8.0.0 (Windows),,33,9317,FALSE,0,0,0.93
18.Waste_and_recycling_report_and_data_2021-22.pdf,Waste and recycling in Western Australia 2021–22 Data and trends report,,2023,Adobe PDF Library 17.0,,42,11855,FALSE,0,0,3.94
19.Circular Economy Resource Recovery Report 2021-22.pdf,Circular Economy Resource Recovery Report 2021-22 Summary of Findings,,2023,"Green Industries SA, DBD Environmental",Industry Report,32,9652,TRUE,207,2.14,6.5
20.national-waste-report-2022.pdf,National Waste Report 2022,"Joe Pickin, Christine Wardle, Kyle O’Farrell, Lara Stovell, Piya Nyunt, Sabrina Guazzo, Yong Lin, Georgia Caggiati-Shortell, Poulomi Chakma, Carmen Edwards, Blake Lindley (Cirq Solutions), Geoff Latimer (Ascend Waste and Environment), Jenny Downes (BehaviourWorks), Isabel Axiö (RMCG)",2023,Microsoft® Word for Microsoft 365,,142,53892,FALSE,0,0,6.48
21.Waste-Feasibility-Study_roadmap.pdf,ACT Waste Feasibility Study,ACT Government,2018,Adobe PDF Library 15.0,,36,14702,TRUE,235,1.6,5.5
22.national-waste-report-2020.pdf,National Waste Report 2020,"Joe Pickin, Christine Wardle, Kyle O’Farrell, Piya Nyunt, Sally Donovan",2020,Microsoft® Word 2016,,156,55608,FALSE,0,0,7.74
"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf","The Current State and Digital Evolution...and QLD, Australia - Onshift Education",,2026,Microsoft: Print To PDF,,48,,TRUE,971,0,15.48
24.Report-Victorian-Recycling-Industry-Annual-Report-2018-19.pdf,Victorian Recycling Industry Annual Report 2018–19,Sustainability Victoria,2020,Sustainability Victoria,Industry Report,51,15462,FALSE,0,0,1.84
25.Home building in the NT is forecast to grow.pdf,Home building in the NT is forecast to grow,,2026,Microsoft: Print To PDF,,3,,FALSE,0,0,0.77
"26.uilt environment sector 'primed to take on circularity,' report finds.pdf","Built environment sector â•Ÿprimed to tak...larity,â•Ž report finds _ ArchitectureAu",,2026,Microsoft: Print To PDF,,4,,TRUE,176,0,1.18
27.Engineering-for-Australias-Circular-Economy-White-Paper-Download.pdf,251121 Engineering for Australia's Circular Economy,Circular Australia,2025,Canva,,38,14914,TRUE,4321,28.97,7.47
28.Development of the circular economy design guidelines for the Australian built environment sector.pdf,Development of the Circular Economy Design Guidelines for the Australian Built Environment Sector,"Atiq Zaman, Ana Maria Caceres Ruiz, Salman Shooshtarian, Tim Ryley, Savindi Caldera and Tayyab Maqsood",2023,"The construction and demolition (C&D) waste stream is the main source of solid waste in Australia. While there is a strong circularity drive in Australia’s and state/territory governments’ waste regulatory framework, clear guidelines for C&D waste management are yet to be developed for the built environment sector in Australia. This study proposes a suite of construction industry-specific guidelines for achieving circular economy (CE) goals by reviewing issues related to “Design for Zero Waste” (DfZW) and “Design for Recycling” (DfR). To do so, this study explores the current CE practices in construction and infrastructure projects in both global and Australian contexts through a systematic literature review. In addition, barriers and enablers of CE in the built environment were identified. This study provides a list of guidelines that can help industry practitioners achieve CE in the construction sector in Australia. These guidelines draw on the main themes identified through the literature review: circularity practices, resource management, innovation, and optimisation. Thus, this study bridges the gap between theory and practice by offering clear, circular guidelines for designing out C&D waste in Australia. The proposed guidelines enable industry practitioners to keep products and materials in use for a longer period and develop strategies to regenerate natural systems. Future research should focus on several aspects, including measuring emissions reductions linked to the strategies shown in the proposed guidelines.",,26,7494,TRUE,238,3.18,3.78
29.Construction and Demolition Waste Guide Recycling and Re-use Across the Supply Chain.pdf,CONSTRUCTION AND DEMOLITION WASTE GUIDE - RECYCLING AND RE-USE ACROSS THE SUPPLY CHAIN,Edge Environment Pty Ltd,2011,Adobe PDF Library 9.9,Technical Report,58,16345,TRUE,708,4.33,4.04
"30.Australia Construction Demolition Waste Recycling Market Size, Share, Price, Growth, Forecast 2025-2033.pdf",Australia Construction Demolition Waste Recycling Market Size 2034,,2026,Microsoft: Print To PDF,,17,,TRUE,354,0,4.32
32.demolition work.pdf,Demolition work _ Safe Work Australia,,2026,Microsoft: Print To PDF,,3,,FALSE,0,0,0.38
33.australian-infrastructure-plan.pdf,2021 Australian Infrastructure Plan _ Infrastructure Australia,,2026,Microsoft: Print To PDF,,4,,FALSE,0,0,2.73
34.Australia_infrastructure Plan- 2021.pdf,2021 Australian Infrastructure Plan,"PILATI Elisabetta, GOV/IPP",2021,Infrastructure Australia,Other,1,345,FALSE,0,0,0.27
35.Homeowner's Guide to Building and Renovating.pdf,Publication Homeowner's Guide to Building and Renovating,QBCC,2024,Publication Homeowner's Guide to Building and Renovating,,24,13039,FALSE,0,0,32.4
36.Building and construction - Department of State Growth.pdf,Sector summary 2014 Building and construction,"Roach, Thomas",2014,"Australian Bureau of Statistics (ABS), Department of Economic Development, Tourism and the Arts, Department of State Growth, AEC Group",Industry Report,5,1737,FALSE,0,0,0.15
37.EPA Victoria releases industry guidance on construction noise.pdf,EPA Victoria releases industry guidance on construction noiseÂ€ - Build Australia,,2026,Microsoft: Print To PDF,,6,,FALSE,0,0,1.27
38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,Building materials in a circular economy,"Dalton, T., Dorignon, L., Boehme, T., Kempton, L., Iyer-Raniga, U., Oswald, D., Amirghasemi, M. and Moore, T.",2023,Adobe PDF Library 17.0,,106,49258,TRUE,3442,6.99,3.3
41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,CIRCULAR ECONOMY GUIDANCE FOR THE IRISH CONSTRUCTION SECTOR,,2023,macOS Version 13.4.1 (c) (Build 22F770820d) Quartz PDFContext,,83,21429,TRUE,5767,26.91,1.58
40.CIOB Response to DECC Circular Economy Consultation.pdf,40.CIOB Response to DECC Circular Economy Consultation.pdf,Joseph Kilroy,2023,Charted Institute of Building (CIOB),,5,2656,TRUE,613,23.08,0.18
42.feasibility-of-deconstruction.pdf,42.feasibility-of-deconstruction.pdf,,2024,Adobe PDF Library 17.0,,93,35794,TRUE,520,1.45,7.46
43.A Systematic Review of Construction and Demolition Waste Management in Australia Current Practices and Challenge.pdf,How Small and Medium-Sized Enterprises Can Uptake the Sustainable Development Goals through a Cluster Management Organization: A Case Study,"Eduardo Jiménez, Marta de la Cuesta-González and Montserrat Boronat-Navarro",2021,"Even though many small and medium-sized enterprises (SMEs) realize the importance of the Sustainable Development Goals (SDGs) for their sustainable business development, they face difficulties when individually pursuing this target. This paper aims to provide cluster-based SMEs with a framework to facilitate the uptake of the SDGs through a cluster network model. By focusing on the case study of a furniture production Cluster Management Organization (CMO Habic a network-based approach to sustainability management is analyzed in order to integrate the SDGs framework into SMEs’ everyday language and day-to-day operations. Through a cluster model approach, industry-specific sustainability material issues are tackled jointly and with the aim of applying a common solution to a similar challenge, Lehi-ODS, an online sustainability management tool for SME self-evaluation, has been developed wherein the participating SMEs can gain an overarching knowledge about the UN 2030 Agenda, assess their own alignment with the SDGs and with respect to that of their peers, and prioritize initiatives to correctly deliver them. The main conclusion derived from the paper is that a CMO is deemed to be a valuable driver in identifying common sector-specific challenges of corporate sustainability and in addressing collectively the question of contributing to the SDGs.",,18,2813,FALSE,0,0,0.27
44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,The Transition to a Circular Built Environment in Australia: An Analysis of the Jurisdictional Policy Framework,"Usha Iyer-Raniga, Akvan Gajanayake, Oanh Thi-Kieu Ho",2023,Environmental Policy and Law,Journal Article,14,2799,TRUE,638,22.79,1.65
45.Civil Contractors Federation National Infrastructure Market Capacity Survey 2022.pdf,Civil Contractors Federation National Infrastructure Market Capacity Survey 2022,Duncan Sheppard,2022,Civil Contractors Federation National,Industry Report,9,1597,FALSE,0,0,0.66
46.NABERS Waste Rules and support documentation.pdf,NABERS Waste Rules and support documentation _ NABERS,,2026,Microsoft: Print To PDF,,7,,FALSE,0,0,2.85
47.gbca-a-practical-guide-to-circular-procurement.pdf,12612485-GBCACEProc-Guide_Draft_01a.pptx,Henrique Sala Benites,2025,Microsoft® PowerPoint® for Microsoft 365,,50,17520,TRUE,3571,20.38,3.2
48.What-Works-3-For-circular-design-in-the-built-environment.pdf,What Works For Circular Design in the Built Environment,,2025,vic.gov.au,Other,31,11313,TRUE,2309,20.41,1.25
49.RV_Circular-Economy-Market-Report-2025_2.pdf,49.RV_Circular-Economy-Market-Report-2025_2.pdf,,2025,Adobe PDF Library 17.0,,72,26581,TRUE,267,1,4.51
50.Australia’s circular economy Unlocking the oppertunities Inquiry report.pdf,Australia’s circular economy: unlocking the opportunities,Productivity Commission,2025,Inquiry report,,166,73201,TRUE,1680,2.3,2.11
51.Retrofitting.pdf,RETROFITTING + SHAPING THE BUILDINGS WE HAVE INTO THE CITIES WE WANT,,2024,Adobe PDF Library 17.0,,56,15511,FALSE,0,0,5.46
52.Circular-Economy-Markets-Australia- ARUP.pdf,Circular Economy Markets Australia FINAL,Circular Australia,2024,Canva,,47,16889,TRUE,3530,20.9,22.34
"53.Circular economies would unlock billions in market value for leading Australian companies, new study shows.pdf","Circular economies would unlock billion...lian companies, new study shows - Arup",,2026,Microsoft: Print To PDF,,5,,FALSE,0,0,0.85
54.2024-WMRR-Annual-Report.pdf,2024 Annual Report - FINAL,Waste Management and Resource Recovery Association of Australia,2025,Canva,,40,11783,FALSE,0,0,34.54
55.australias-circular-economy-framework-2024.pdf,Australia’s Circular Economy Framework,"Department of Climate Change, Energy, the Environment and Water",2024,Doubling our circularity rate,,40,16083,TRUE,888,5.52,9.48
56.Insights Timber unlocks circularity for city structures.pdf,Insights _ Timber unlocks circularity for city structures,,2026,Microsoft: Print To PDF,,14,,FALSE,0,0,3.71
57.ASI Steel Sustainability Awards.pdf,57.ASI Steel Sustainability Awards.pdf,Peter Kneen,2023,Australian Steel Institute (ASI),Other,2,503,FALSE,0,0,0.23
