edge_id,subject_id,predicate,object_id,chunk_id,source_file,page_num,judge_label,statement_confidence,evidence_excerpt,evidence_start_char,evidence_end_char,country
rel:6bb474258a04dbda,ent:9e55a200dee20b8d,INVOLVES,ent:70bfcea1287a7dd7,1.national-waste-and-resource-recovery-report-2024::c106::d40fae0ff55786fe,1.national-waste-and-resource-recovery-report-2024.pdf,,maybe,0.6,Activity is predominantly centred in donation via charitable and social enterprises. This includes unwanted business equipment,,,AU
rel:fa06b84f9b5586ac,ent:9e55a200dee20b8d,INVOLVES,ent:545a4090402d77d9,1.national-waste-and-resource-recovery-report-2024::c106::d40fae0ff55786fe,1.national-waste-and-resource-recovery-report-2024.pdf,,maybe,0.6,"Activity is predominantly centred in donation via charitable and social enterprises. This includes unwanted business equipment, surplus pre-consumer stock",,,AU
rel:f20411366e88eee3,ent:9e55a200dee20b8d,INVOLVES,ent:979d06da506108a3,1.national-waste-and-resource-recovery-report-2024::c106::d40fae0ff55786fe,1.national-waste-and-resource-recovery-report-2024.pdf,,maybe,0.6,"Activity is predominantly centred in donation via charitable and social enterprises. This includes unwanted business equipment, surplus pre-consumer stock and food, and unwanted post-consumer items.",,,AU
rel:84a4cef2af1767bb,ent:f6c51b9c0883e8f5,INVOLVES,ent:a388efdcc58205f5,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Reprocessing Processing of recovered materials to make raw materials for use in making new products or direct use,,,AU
rel:24b1c19f800efced,ent:f6c51b9c0883e8f5,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Processing of recovered materials to make raw materials for use in making new products or direct use,,,AU
rel:0969a2b1743028d3,ent:465a8b9b73e442b1,INVOLVES,ent:a388efdcc58205f5,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Processing of recovered materials to make raw materials for use in making new products or direct use. May also be called 'secondary processing',,,AU
rel:d36071a1e3d079c2,ent:465a8b9b73e442b1,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Processing of recovered materials to make raw materials for use in making new products or direct use. May also be called 'secondary processing',,,AU
rel:907d2dc7cd62bd37,ent:02c95ca2caf91411,INVOLVES,ent:65d8d69427a8f75f,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"Activities through which wastes are collected, sorted, processed (including through composting), and/or converted into raw materials",,,AU
rel:ad33fcd9a2dd77ca,ent:02c95ca2caf91411,INVOLVES,ent:c087c926646208cb,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"the quantity of waste allocated to the fate 'resource recovery' is the sum of the quantities allocated to waste reuse, recycling and energy recovery",,,AU
rel:9e8976eaf28c87ec,ent:02c95ca2caf91411,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"Activities through which wastes are collected, sorted, processed (including through composting), and/or converted into raw materials for use in a production system",,,AU
rel:bbe56b5b96c249ff,ent:65d8d69427a8f75f,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"wastes are collected, sorted, processed (including through composting), and/or converted into raw materials for use in a production system",,,AU
rel:c99ca9f7a01014e2,ent:83b51ad2e0084c60,PRODUCES,ent:39e12159405b93e3,21.Waste-Feasibility-Study_roadmap::c43::e28639f01a2db346,21.Waste-Feasibility-Study_roadmap.pdf,,maybe,0.6,"include aggregates for use in road base, and as a sand replacement in sand blasters and pool water filters",0.0,106.0,AU
rel:abc3be8d6cc86bd5,ent:0fd7487ab8507d9e,PRODUCES,ent:d4ad115631e63f26,21.Waste-Feasibility-Study_roadmap::c43::e28639f01a2db346,21.Waste-Feasibility-Study_roadmap.pdf,,maybe,0.6,The recent upgrade to the Hume MRF allows the facility to produce glass fines for use in construction,108.0,209.0,AU
rel:d3856121c7cb16ed,ent:9053e230f19ee544,PRODUCES,ent:d4ad115631e63f26,21.Waste-Feasibility-Study_roadmap::c43::e28639f01a2db346,21.Waste-Feasibility-Study_roadmap.pdf,,maybe,0.6,"roughly 6,500 tonnes of glass available in the waste stream for processing into glass fines",220.0,311.0,AU
rel:8677db5463abfa9c,ent:066e38ce337772c6,AFFECTS,ent:1931dc8c38458af6,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,maybe,0.6,Dumping of goods at charity storefronts costs charities about $13 million per year,10.0,92.0,AU
rel:befe6d4811a9c407,ent:263a4de9216f7ee5,ISSUED_BY,ent:066e38ce337772c6,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,maybe,0.6,Dumping of goods at charity storefronts costs charities about $13 million per year (NACRO 2018),10.0,105.0,AU
rel:740fd8a173381b62,ent:5868c44cdb49e948,ENABLES,ent:1931dc8c38458af6,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,maybe,0.6,State governments often provide some financial relief through landfill levy exemptions,,,AU
rel:5ca0b09366af4b4e,ent:2823bfd41f8dfccc,ISSUED_BY,ent:b933d900a8c5c206,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,maybe,0.6,buildings can be purposefully deconstructed to maximise reuse and recycling (DECCW NSW 2010),,,AU
rel:78069a22122b509f,ent:0efceea178c206e9,REFERENCES,ent:a0b817dbfb6a31a5,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,maybe,0.6,"The waste hierarchy expresses a preferential order to managing waste, and is embedded in state and territory policy frameworks",,,AU
rel:953f7527a06d73b2,ent:39d2ebe8263f5e83,INVOLVES,ent:131820ea5b991a9c,22.national-waste-report-2020::c101::3333998b41bed3d4,22.national-waste-report-2020.pdf,35.0,maybe,0.6,Rescued sports equipment for sale at the Resource Work Cooperative in Hobart,707.0,783.0,AU
rel:4a047169197d0cc7,ent:066e38ce337772c6,AFFECTS,ent:1931dc8c38458af6,22.national-waste-report-2020::c102::7e2204e07563ca7a,22.national-waste-report-2020.pdf,,keep,1.0,Dumping of goods at charity storefronts costs charities about $13 million per year,19.0,101.0,AU
rel:5d0c3272399e5c7e,ent:263a4de9216f7ee5,ISSUED_BY,ent:066e38ce337772c6,22.national-waste-report-2020::c102::7e2204e07563ca7a,22.national-waste-report-2020.pdf,,keep,1.0,Dumping of goods at charity storefronts costs charities about $13 million per year (NACRO 2018),19.0,114.0,AU
rel:a56ad7493cb84d7a,ent:5868c44cdb49e948,ENABLES,ent:1931dc8c38458af6,22.national-waste-report-2020::c102::7e2204e07563ca7a,22.national-waste-report-2020.pdf,,keep,1.0,State governments often provide some financial relief through landfill levy exemptions,,,AU
