entity_type,n_nodes,mean_degree,median_degree,max_degree,isolates,chunk_sum,chunk_mean,pct_nodes,isolate_pct
Practice,428,4.68,2,131,52,1099,2.6,26.1,12.1
Instrument,245,3.88,2,30,20,442,1.8,14.9,8.2
MaterialAsset,245,4.2,2,81,24,702,2.9,14.9,9.8
Stakeholder,140,3.98,2,36,11,401,2.9,8.5,7.9
Requirement,136,3.18,2,27,10,247,1.8,8.3,7.4
Barrier,120,2.02,1,27,26,244,2,7.3,21.7
OutcomeMetric,115,5.07,2,75,15,347,3,7,13
Authority,98,2.37,1.5,16,4,187,1.9,6,4.1
Enabler,74,2.76,1.5,24,11,132,1.8,4.5,14.9
Jurisdiction,41,5.17,2,63,1,156,3.8,2.5,2.4
