node_id,entity_type,name,name_norm,is_registry,first_seen_chunk,first_seen_source,first_seen_page,example_evidence,chunk_count,surface_forms
ent:231e99557d92237b,Authority,Alliance for Sustainable Building Products,alliance for sustainable building products,False,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c85::4e9272121fad372f,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"Delivering Innovative Steel ReUse ProjecT (DISRUPT) initiative, led by the Alliance for Sustainable Building Products (ASBP)",1,Alliance for Sustainable Building Products
ent:466487bec0729b57,Authority,"American Society of Heating, Refrigerating and Air-Conditioning Engineers",american society of heating refrigerating and air-conditioning engineers,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c186::0ef175c84689f556,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"American Society of Heating, Refrigerating and Air-Conditioning Engineers. Sustainability Roadmap. American Society of Heating, Refrigerating and Air-Conditioning Engineers, 2006.",1,"American Society of Heating, Refrigerating and Air-Conditioning Engineers"
ent:a41f453e3868e1af,Authority,Arup,arup,True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c38::884474d23840360e,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,Invest in Arup The Reuse Playbook,6,Arup
ent:85e22a6c83d09ca7,Authority,Australian Building Codes Board,australian building codes board,True,62.Integrating_the_circular_economy_into_construction_waste_management_in_NSW_Australia::c150::c59830b35eb1d847,"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf",,"Standards, 2022; Australian Building Codes Board, 2022",1,Australian Building Codes Board
ent:474afa6d04178216,Authority,Australian Bureau of Statistics,australian bureau of statistics,False,48.What-Works-3-For-circular-design-in-the-built-environment::c14::b75739ee1d04464b,48.What-Works-3-For-circular-design-in-the-built-environment.pdf,,"Waste Account, Australia, Experimental Estimates, 2018-19 financial year | Australian Bureau of Statistics (abs.gov.au)",1,Australian Bureau of Statistics
ent:4874da6880c04210,Authority,Australian Capital Territory (ACT),australian capital territory (act),True,44.The_Transition_to_a_Circular_Built_Environment_in_::c21::446785c9d3de410e,44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,7.0,The ACT has specialised facilities for sorting C&D waste for use in building and road construction.,2,Australian Capital Territory (ACT)
ent:80133ac6b1334121,Authority,Australian Government,australian government,True,29.Construction_and_Demolition_Waste_Guide_Recycling_and_Re-use_Across_the_Supply_Chain::c26::6c1ccec1489091a2,29.Construction and Demolition Waste Guide Recycling and Re-use Across the Supply Chain.pdf,,The Australian Government recently carried out a study to determine the status of C&D recycling and re-use in Australia,8,Australian Government
ent:dbf680c44ccf304f,Authority,Australian Housing and Urban Research Institute Limited,australian housing and urban research institute limited,True,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c344::8ee0a51279786f96,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,"AHURI Final Report No. 281, Australian Housing and Urban Research Institute Limited, Melbourne",4,Australian Housing and Urban Research Institute Limited
ent:7cadb739bc542ee4,Authority,Australian Institute of Architects,australian institute of architects,False,44.The_Transition_to_a_Circular_Built_Environment_in_::c34::c56e7ea2e809ad23,44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,,Australian Institute of Architects. (2021). Institute Policy and advocacy statements: Sustainability policy,4,Australian Institute of Architects
ent:73c37d4768db0461,Authority,Australian State and Territory Governments,australian state and territory governments,True,30.Australia_Construction_Demolition_Waste_Recycling_Market_Size_Share_Price_Growth_Forecast_2025-2033::c12::4db1187a73d0c573,"30.Australia Construction Demolition Waste Recycling Market Size, Share, Price, Growth, Forecast 2025-2033.pdf",8.0,"Australian states have introduced circular economy plans that focus on waste reduction, material recovery expansion, and innovation in recycling technologies.",1,Australian State and Territory Governments
ent:b275c656ce4bf0e5,Authority,Bengt Dahlgren,bengt dahlgren,False,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c236::d75c4681996e1824,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,"Bengt Dahlgren. Återbruksguiden för Installationer. Bengt Dahlgren, 2022",2,Bengt Dahlgren
ent:46cd0416bb6f51ae,Authority,Bradfield Development Authority,bradfield development authority,True,47.gbca-a-practical-guide-to-circular-procurement::c60::0d8e09154502aa98,47.gbca-a-practical-guide-to-circular-procurement.pdf,22.0,"First Building, NSW. Bradfield Development Authority. Targeting 6 Star Green Star – Buildings v1",1,Bradfield Development Authority
ent:ecc2fa7b5f0b5307,Authority,Building Control,building control,True,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c192::fb34d80ba2c2d00e,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,80.0,Currently there is difficulty with building control and fire certification when reusing materials or using secondary products,1,Building Control
ent:f89ad40bb3190245,Authority,Building Regulations Advisory Body,building regulations advisory body,False,41.Circular_Economy_Guidance_for_the_Irish_Construction_Sector_For_peer_review_5.9.2023_::c59::a93bc17b7f5d2c11,41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,,"Introduce a Building Regulations Advisory Body, consisting of member of various stakeholders, e.g., RIAI, Engineers Ireland",1,Building Regulations Advisory Body
ent:dc7a063c9e5e4c0e,Authority,CEMAG,cemag,True,27.Engineering-for-Australias-Circular-Economy-White-Paper-Download::c50::10784bfe7c82b080,27.Engineering-for-Australias-Circular-Economy-White-Paper-Download.pdf,,"It indicates that a National Circular Framework, as recommended by CEMAG, could elevate lagging regions",2,CEMAG
ent:11fa07dfd64e4afc,Authority,Centre,centre,True,48.What-Works-3-For-circular-design-in-the-built-environment::c26::88f3fac70863a372,48.What-Works-3-For-circular-design-in-the-built-environment.pdf,10.0,"The built environment has been a key focus area for the Centre, having funded a waste reducing prefabrication project",1,Centre
ent:44c3963873afa3c4,Authority,Centre for Advanced Manufacturing of Prefabricated Housing,centre for advanced manufacturing of prefabricated housing,False,75.Case-Study-1-1-ATCO-SL::c37::02c4d6f5b1c0890d,75.Case-Study-1-1-ATCO-SL.pdf,,A University of Melbourne's Centre for Advanced Manufacturing of Prefabricated Housing report suggests,1,Centre for Advanced Manufacturing of Prefabricated Housing
ent:a6f2687947ff4501,Authority,Chartered Institution of Building Services Engineers (CIBSE),chartered institution of building services engineers (cibse),True,71.The_Reuse_Playbook_-_Circular_Buildings_Toolkit::c236::d75c4681996e1824,71.The Reuse Playbook - Circular Buildings Toolkit.pdf,,Chartered Institution of Building Services Engineers. TM56: Resource Efficiency of Building Services. London,2,Chartered Institution of Building Services Engineers (CIBSE)
ent:15f8fd1db8b684ce,Authority,Circle Economy,circle economy,False,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c259::9d4b12e1927577ff,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,"Dufourmont, J. and Brown, E.G. (2020) Jobs and skills in the circular economy: state of play and future pathways, Circle Economy",2,Circle Economy
ent:83b13f0a7bbf7295,Authority,Circular Economy Commissioner,circular economy commissioner,False,27.Engineering-for-Australias-Circular-Economy-White-Paper-Download::c78::fe03885cc993b702,27.Engineering-for-Australias-Circular-Economy-White-Paper-Download.pdf,,"Consider establishing a dedicated authority or commissioner to provide long-term, bipartisan stability similar to climate legislation models",1,Circular Economy Commissioner
ent:ec615185d8da34a6,Authority,Circular Economy Ministerial Advisory Group (CEMAG),circular economy ministerial advisory group (cemag),True,27.Engineering-for-Australias-Circular-Economy-White-Paper-Download::c23::395d1c6de56f36e6,27.Engineering-for-Australias-Circular-Economy-White-Paper-Download.pdf,,Framework and the Circular Economy Ministerial Advisory Group (CEMAG)'s Circular Advantage recommendations,3,Circular Economy Ministerial Advisory Group (CEMAG)
ent:cba071c63907447f,Authority,Circular Flanders,circular flanders,True,23.The_Current_State_and_Digital_Evolution_of_the_Demolition_Industry_in_NSW_and_QLD_Australia::c83::9f30f0b35be8e491,"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",,the Sloopwijzer tool was part of a Circular Flanders initiative,1,Circular Flanders
ent:d5817114ef917430,Authority,Commonwealth Scientific and Industrial Research Organisation (CSIRO),commonwealth scientific and industrial research organisation (csiro),True,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c15::e8a20228f2f1e974,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,The Commonwealth Scientific and Industrial Research Organisation (CSIRO) has made considerable progress in the development of a data system,3,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
ent:531c2606da732a21,Authority,CSI,csi,False,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy::c259::9d4b12e1927577ff,38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,,ECRA and CSI (2017) Development of state of the art techniques in cement manufacturing: trying to look ahead,2,CSI
ent:a3b317f8a9ebc85d,Authority,CSIRO,csiro,True,26.uilt_environment_sector_primed_to_take_on_circularity_report_finds::c1::f9fc293c8a3f8f4d,"26.uilt environment sector 'primed to take on circularity,' report finds.pdf",3.0,The report follows a CSIRO report that found Australia's circularity rate lags behind the rest of the world,4,CSIRO
ent:ddff41e272e526f9,Authority,Danish Ministry of Environment and Gender Quality,danish ministry of environment and gender quality,True,49.RV_Circular-Economy-Market-Report-2025_2::c14::faf69b732080d6ae,49.RV_Circular-Economy-Market-Report-2025_2.pdf,8.0,Denmark (Danish Ministry of Environment and Gender Quality 2018),1,Danish Ministry of Environment and Gender Quality
