subject_id,predicate,object_id,support_count,avg_confidence,evidence_samples
ent:002ea47334f88f54,REFERENCES,ent:ac098bbcf3115f1e,1,1.0,ensure that both Ecolabels and EPDs comply with relevant International standards
ent:003d6df96b0dbb7c,BARRIERS,ent:884b0dd33cc7e065,1,1.0,This might not be the case in flat slab construction where bars may be designed for a specific task
ent:0047aa472be51326,APPLIES_TO,ent:28ee6ec392eb14f7,2,0.6,"eco-labelling, including for textiles, LIBs, concrete and steel products | eco-labelling, including for textiles, LIBs, concrete and steel products"
ent:0047aa472be51326,APPLIES_TO,ent:ad64eb5e9bbadd15,1,0.6,"eco-labelling, including for textiles, LIBs, concrete and steel products"
ent:0047aa472be51326,APPLIES_TO,ent:fcc3ce3277e3d793,2,0.6,"eco-labelling, including for textiles, LIBs, concrete and steel products | eco-labelling, including for textiles, LIBs, concrete and steel products"
ent:00a118d4f22f6016,ENABLES,ent:57b0ad8daad8212c,1,0.6,the construction industry may easily move to CE transition through different approaches in its supply chains
ent:00a118d4f22f6016,INVOLVES,ent:02c95ca2caf91411,1,0.6,analysis on these supply chains
ent:00a118d4f22f6016,INVOLVES,ent:4524d69698dba12a,1,0.6,processes earlier in the supply chain (such as design)
ent:00a118d4f22f6016,INVOLVES,ent:58ecc79812b5ebaf,1,0.6,outlining key actions that can be taken across supply chains to mainstream circular design in the built environment
ent:00a118d4f22f6016,INVOLVES,ent:6cb30efbd41112c6,1,1.0,applied further up the supply chain to materials and building components
ent:00a118d4f22f6016,INVOLVES,ent:7620edae7028b6fb,1,0.6,In the workshop we will present some of our analysis on these supply chains
ent:00a118d4f22f6016,REQUIRES,ent:02c95ca2caf91411,2,1.0,"actors in the supply chain will need to change if there is to be systematic and deep reduction, reuse, recycling and recovery of resources | actors in the supply chain will need to change if there is to be systematic and deep reduction, reuse, recycling and recovery"
ent:00a118d4f22f6016,REQUIRES,ent:ea5a359af8e61413,2,1.0,actors in the supply chain will need to change if there is to be systematic and deep reduction | actors in the supply chain will need to change if there is to be systematic and deep reduction
ent:00a9eed205ea8eae,AFFECTS,ent:db1676ec0067b608,1,0.6,recovery in reducing the environmental impact of construction activities
ent:00a9eed205ea8eae,APPLIES_TO,ent:337c9f0b7d6ac55f,1,1.0,"in office buildings, about 60% of modular partitions and ceilings can be reused without reconditioning"
ent:00a9eed205ea8eae,APPLIES_TO,ent:34e63417ca3d0fbf,1,1.0,"in office buildings, about 60% of modular partitions and ceilings can be reused without reconditioning"
ent:00a9eed205ea8eae,APPLIES_TO,ent:3e23e57b4994740f,1,1.0,"achieving 100% recovery is unrealistic—for instance, sections of steel may need to be cut off"
ent:00a9eed205ea8eae,APPLIES_TO,ent:46ddb484da66274b,1,0.6,recovery in reducing the environmental impact of construction activities
ent:00a9eed205ea8eae,APPLIES_TO,ent:7c0a82713dd77dc6,1,1.0,"we extract materials, components and whole structures from the donor building, allowing them to be reused"
ent:00a9eed205ea8eae,APPLIES_TO,ent:d948e6c3294a579f,2,0.6,CE frameworks rely heavily on the recovery and recycling of C&D waste | CE frameworks rely heavily on the recovery and recycling of C&D waste
ent:00a9eed205ea8eae,APPLIES_TO,ent:f91f9bd7af71b9ed,1,1.0,"sections of steel may need to be cut off, or inner glass panes may break during removal."
ent:00a9eed205ea8eae,ENABLES,ent:57b0ad8daad8212c,2,0.6,there is good potential for the built environment sector to be a major factor in the transition from a recycling economy to a CE | there is good potential for the built environment sector to be a major factor in the transition from a recycling economy to a CE
ent:00a9eed205ea8eae,ENABLES,ent:b864c90d82a98e18,1,1.0,Maximising material recovery reduces the need for extracting new resources
ent:00a9eed205ea8eae,PRODUCES,ent:4991407ee9078a3e,1,0.6,boosting the recovery rates of valuable materials
ent:00a9eed205ea8eae,PRODUCES,ent:6cb30efbd41112c6,1,1.0,"we extract materials, components and whole structures from the donor building"
ent:00a9eed205ea8eae,PRODUCES,ent:9d2b2d2ef25f7a49,1,1.0,"we extract materials, components and whole structures from the donor building, allowing them to be reused"
ent:011eee3bcfea1ca2,ENABLES,ent:f3c71fca40f5cc6a,1,0.6,waste enforcement and materials specifications are aligned to accommodate and promote use of recycled aggregates
ent:01492bf086e28aae,APPLIES_TO,ent:e1783faa9c93afa5,1,1.0,"social infrastructure such as hospitals, schools and arts buildings"
ent:0216b8a4e03a2114,INVOLVES,ent:46ddb484da66274b,1,1.0,"those directly involved in construction activities. These include (Figure 7) construction managers, site supervisors, sub-contractors"
ent:024e2115ec83671c,ISSUED_BY,ent:12b4e1fb4a3562a5,1,1.0,"UK Green Building Council. Trends in Solutions 2024: Reuse. UK Green Building Council, 2024."
ent:02804fced2f45c1a,APPLIES_IN,ent:61267f857ed5ba18,1,1.0,"commercial buildings in the UK are demolished after 35 years, with similar statistics echoed in Japan"
ent:02804fced2f45c1a,APPLIES_IN,ent:cbfd9ce4224d6b10,1,1.0,commercial buildings in the UK are demolished after 35 years
ent:02b5a57d02d30d7f,ENABLES,ent:8830dc5d149df6de,1,1.0,opportunities for waste reduction in the demolition stage... Developing appropriate methodologies before demolition
ent:02c95ca2caf91411,AFFECTS,ent:539995acd5e53f0e,1,1.0,High recovery rates for materials are achieved when materials are captured closer to the source
ent:02c95ca2caf91411,AFFECTS,ent:61fa3c3e9eff7bdf,1,0.6,"The need for new materials would be reduced, and each actor's accountability level would increase by taking such a step"
ent:02c95ca2caf91411,AFFECTS,ent:c2f6a9b66eec87d7,1,0.6,every actor could feed the supply chain with recycled materials and offset the waste that ends in landfill
ent:02c95ca2caf91411,AFFECTS,ent:d948e6c3294a579f,1,1.0,90% Resource Recovery rate C&D waste diverted from landfill
ent:02c95ca2caf91411,APPLIES_TO,ent:d948e6c3294a579f,1,1.0,Targets by 2040 90% Resource Recovery rate 95% C&D waste diverted from landfill
ent:02c95ca2caf91411,ENABLES,ent:b28fe31643a1778f,1,1.0,Resource Recovery & Remanufacturing Invest in domestic infrastructure. Strengthen resource recovery
ent:02c95ca2caf91411,INVOLVES,ent:65d8d69427a8f75f,1,0.6,"Activities through which wastes are collected, sorted, processed (including through composting), and/or converted into raw materials"
ent:02c95ca2caf91411,INVOLVES,ent:c087c926646208cb,1,0.6,"the quantity of waste allocated to the fate 'resource recovery' is the sum of the quantities allocated to waste reuse, recycling and energy recovery"
ent:02c95ca2caf91411,PRODUCES,ent:8bb1627054e77ecb,1,0.6,"the industry has the potential to include a resource recovery actor, which can be made by an individual actor or be adopted"
ent:02c95ca2caf91411,PRODUCES,ent:b4e45bfd70fec778,1,0.6,"Activities through which wastes are collected, sorted, processed (including through composting), and/or converted into raw materials for use in a production system"
ent:02e0cb5444b8012b,PRODUCES,ent:a8eb488d757dc2f9,2,0.6,"required for designing, specifying and constructing less carbon-intensive buildings | required for designing, specifying and constructing less carbon-intensive buildings"
ent:03c32d377dcd5b11,ENABLES,ent:ebf24303b55a7a7f,1,1.0,"Design for the potential addition of new technologies, such as smart building systems or renewable energy solutions."
ent:0403d9f760e48341,ENABLES,ent:dd219bd0e8e6efb1,1,1.0,various design concepts are used for C&D waste minimisation opportunities at the design phase. These include design for RL
ent:0409c12966b5429b,AFFECTS,ent:b1f3fbd36589ae05,1,1.0,Secondary replacement products should be procured to reduce carbon tonnage
ent:0409c12966b5429b,INVOLVES,ent:3e23e57b4994740f,1,0.6,Material Suppliers offering secondary products (e.g. Reused steel).
ent:0409c12966b5429b,REQUIRES,ent:18a2ee72502de0b4,1,1.0,recycling/ recovery of waste to secondary products is undertaken in compliance with end-of-waste requirements
ent:0457a8067d2d32ec,INVOLVES,ent:6cb30efbd41112c6,1,1.0,"allow components and materials to be recovered more easily, making them available for reuse"
ent:0457a8067d2d32ec,INVOLVES,ent:f2a0b6bc434416e7,1,1.0,material reuse strategies. These may involve advanced techniques and planning that again benefit from digital tools
ent:0457a8067d2d32ec,PRODUCES,ent:9adc4f356b2cc767,1,1.0,"selective demolition and material reuse strategies. These may involve advanced techniques and planning that again benefit from digital tools (for instance, material inventories and marketplaces for salvaged components)"
ent:04639e2d4fc0cd09,INVOLVES,ent:865a0203c5ba8e37,1,0.6,Support the creation and scaling of e-commerce style platforms for buying/selling secondary materials.
ent:0499e08fe8c24a08,BARRIERS,ent:7620edae7028b6fb,1,0.6,the lack of monitoring structures where waste is accounted for and classified according to the way it got sorted
ent:04d092a5e0762882,AFFECTS,ent:bba1412d2cce870c,1,1.0,second-hand steel due to its opportunity to reduce the embodied carbon impact of a new development
ent:04d092a5e0762882,ENABLES,ent:54c1c23bcc1db88d,1,0.6,Development of a second-hand market
ent:04d092a5e0762882,INVOLVES,ent:56c1aa47304cbb88,1,1.0,growing demand for second-hand steel due to its opportunity to reduce the embodied carbon
ent:04d092a5e0762882,INVOLVES,ent:8bb1627054e77ecb,1,0.6,markets for recycled materials may be too small.
ent:050ba9fff76618d6,APPLIES_TO,ent:21895d01efb73645,1,0.6,"This document reviews four materials that are common waste streams in our economy: plastics, tyres (automotive and mining), glass and paper"
ent:050ba9fff76618d6,APPLIES_TO,ent:693cc5955b709ea8,1,0.6,"This document reviews four materials that are common waste streams in our economy: plastics, tyres (automotive and mining), glass and paper"
ent:050ba9fff76618d6,APPLIES_TO,ent:9053e230f19ee544,1,0.6,"This document reviews four materials that are common waste streams in our economy: plastics, tyres (automotive and mining), glass and paper"
ent:050ba9fff76618d6,APPLIES_TO,ent:b14177770d773a2c,1,0.6,"This document reviews four materials that are common waste streams in our economy: plastics, tyres (automotive and mining), glass and paper"
ent:050ba9fff76618d6,INVOLVES,ent:25a4c8dd73c3143f,1,0.6,The roadmap has a focus on innovation and brings together industry stakeholders to explore CE opportunities for Australia
ent:050ba9fff76618d6,ISSUED_BY,ent:d5817114ef917430,1,0.6,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
ent:066e38ce337772c6,AFFECTS,ent:1931dc8c38458af6,2,0.8,Dumping of goods at charity storefronts costs charities about $13 million per year | Dumping of goods at charity storefronts costs charities about $13 million per year
